,Growth,Discount,Risk_Premium
1991-04-01,-1.148018245160114,1.6564254665235607,2.3147961003519613
1991-05-01,-1.1224942313873996,1.7129118689381846,2.354918719911552
1991-06-01,-1.1721740126999611,1.8671313684503905,2.5129002374573672
1991-07-01,-1.247070766125854,1.8680093108521285,2.5899602083219326
1991-08-01,-1.3101735850953629,1.6458822308505063,2.5173663226986975
1991-09-01,-1.3448658535455318,1.4852448251446433,2.4493045426156956
1991-10-01,-1.4638523906361907,1.388455738732832,2.485760515402947
1991-11-01,-1.6174196653966375,1.286590941145721,2.5417333183659263
1991-12-01,-1.7582834503077078,1.0543334179932424,2.5040756137743254
1992-01-01,-1.897343227605275,1.0178841617263996,2.6072228664482546
1992-02-01,-1.9484953360021884,1.2004183067237058,2.7619720344574805
1992-03-01,-1.9522728585253075,1.3296414119262794,2.8458339735028293
1992-04-01,-1.9584706469820146,1.275588141824687,2.8041010453178328
1992-05-01,-1.976821798560194,1.2080605722780107,2.77093548531059
1992-06-01,-1.9830054048670185,1.0885400532092318,2.677706229347855
1992-07-01,-2.0115430089466817,0.7932965544077719,2.494373625142693
1992-08-01,-1.944821575072439,0.6280627896034177,2.3324846726530204
1992-09-01,-1.8449462921987922,0.5362309227138123,2.1947442471785235
1992-10-01,-1.5911837886139064,0.7168298957974434,2.1310906016813176
1992-11-01,-1.3180520749844964,1.0074012286457121,2.1510771581426207
1992-12-01,-1.2596848309659503,0.969984260701157,2.0928065600028596
1993-01-01,-1.524303258956065,0.749678545971061,2.114019780846474
1993-02-01,-1.6136562585350949,0.48897104468226293,1.999060232156414
1993-03-01,-1.5135710092425707,0.3378386534431081,1.834988149140472
1993-04-01,-1.4785943099733072,0.3390783518046223,1.8102299021981554
1993-05-01,-1.4087258236544211,0.41809853687642373,1.8265010681165113
1993-06-01,-1.2741354308643063,0.42709397854109477,1.7516430189416423
1993-07-01,-1.0895369333956104,0.3683346281987475,1.5778438619418709
1993-08-01,-0.9371862167390225,0.3279705248537846,1.4483201223142539
1993-09-01,-0.8456269271299282,0.14193413727796317,1.2574772119688187
1993-10-01,-0.658722377023916,0.1821989552240284,1.1542368087239367
1993-11-01,-0.40554384819842565,0.5092169153337905,1.1938713997669888
1993-12-01,-0.37485405815037737,0.5454352809077916,1.1879054917627072
1994-01-01,-0.6825936320672525,0.43100934295241833,1.318083534106356
1994-02-01,-0.7055600048847727,0.5685097097558236,1.419565669533506
1994-03-01,-0.38300887970402064,1.0080838210867393,1.4874446455765644
1994-04-01,-0.17727742701070248,1.3516601258423517,1.5382667738183875
1994-05-01,-0.1255138519399697,1.4907141821913032,1.5797369560922825
1994-06-01,-0.22469800844717003,1.3865090969657266,1.5590048084339565
1994-07-01,-0.2261632877442925,1.4819228461556175,1.602002015644181
1994-08-01,-0.17784192430835713,1.468598150842831,1.5634322736543542
1994-09-01,-0.07536861707353953,1.6357723994198192,1.5954243974098443
1994-10-01,0.0057770894811415285,1.8123116103111252,1.6265373560430207
1994-11-01,0.0037433346014702287,1.9059965726057349,1.6575891326370928
1994-12-01,-0.00961176882411415,1.7525854368960505,1.5205666526116624
1995-01-01,-0.0523684915135069,1.712552173894917,1.5255574647721457
1995-02-01,-0.18148212066483022,1.478254833856804,1.467389706670427
1995-03-01,-0.30213404671884825,1.26010645872048,1.404450294221754
1995-04-01,-0.32193084517981607,1.163479757654908,1.3636112231640563
1995-05-01,-0.25256448815289145,0.9082515386873198,1.1550391633394106
1995-06-01,-0.2189920086125452,0.6213241074888949,0.9479295016949546
1995-07-01,-0.15944025668826284,0.7384528535762798,1.0082495254795576
1995-08-01,-0.11032631363655716,0.8918069928500402,1.0801646153579645
1995-09-01,-0.14902655078590563,0.7173629064498445,1.0093078101929254
1995-10-01,-0.1339927786485551,0.6376954442759873,0.9617037002730945
1995-11-01,-0.1893313482712647,0.570454713058794,0.9773497119549457
1995-12-01,-0.1864470228702583,0.46488363615218564,0.9332558479098408
1996-01-01,-0.07209349704698256,0.4705320858616554,0.8654604127999574
1996-02-01,-0.11172328183810246,0.6193248228012225,1.0316290850280705
1996-03-01,-0.11840356221381813,0.9326606627211229,1.2508848002048554
1996-04-01,-0.03692116666117759,1.1293743212619975,1.3277619432079382
1996-05-01,0.08522394232197003,1.3425968420385597,1.4013697886841625
1996-06-01,0.06844864611555355,1.4577701249794797,1.4923288515962527
1996-07-01,-0.04352221600422213,1.3468764611247488,1.4630103250808109
1996-08-01,-0.10549610166000772,1.192522477979191,1.4114423423338167
1996-09-01,-0.03302601193355778,1.3499522708848153,1.4780463197109484
1996-10-01,-0.019647612699256654,1.1690429280942924,1.3565926479419121
1996-11-01,-0.008663445945351303,0.9720522220269698,1.230301473624667
1996-12-01,0.06310463574785821,1.0508388555141432,1.2287024809182245
1997-01-01,0.11562445572126924,1.2701979410394793,1.3564504397237518
1997-02-01,0.12297002107618982,1.2019037882251413,1.3233792062592449
1997-03-01,0.18104405689157954,1.3900498508530719,1.4021437346946102
1997-04-01,0.2035125152659026,1.4962052870231826,1.4383141805602935
1997-05-01,0.07437866113759439,1.4038159364709688,1.5104324307434895
1997-06-01,-0.028909498681803703,1.256604357219828,1.507749921623517
1997-07-01,-0.07699748546176241,1.0972204078081715,1.460710538620033
1997-08-01,0.035276830376944054,1.1856241525271711,1.4488524868352182
1997-09-01,0.10836753100465311,1.1586607048915174,1.3882283454010065
1997-10-01,0.08492894108392501,1.0448382300526056,1.3386551557507067
1997-11-01,0.040416887174397315,0.9196137140473873,1.2809305013779326
1997-12-01,-0.03707056459222195,0.862463306451148,1.3085241058830446
1998-01-01,-0.15302788287923064,0.6498586534130483,1.2435001533089143
1998-02-01,-0.3517535919998185,0.6397520579058484,1.3992945798533043
1998-03-01,-0.5240742175569635,0.6630810432112016,1.5549457519884398
1998-04-01,-0.5955777637918122,0.6567033544331212,1.614978177062257
1998-05-01,-0.5747085583142406,0.6732200015874102,1.6139139585036475
1998-06-01,-0.5153867954692323,0.5942665212641024,1.5237338795121496
1998-07-01,-0.47575716816791663,0.6073520178077413,1.5257032453929362
1998-08-01,-0.42155234388155943,0.5015150450664193,1.3920465279141647
1998-09-01,-0.3998528877322144,0.1216505346677594,1.100481087783779
1998-10-01,-0.32080987866707544,-0.028089317425311584,0.9532741233868882
1998-11-01,-0.21798997440016904,0.2576294210795167,1.122736037870752
1998-12-01,-0.187232846754144,0.17665004296182563,1.0636997333709504
1999-01-01,-0.12307760195808386,0.2739230169552931,1.1029451050222874
1999-02-01,-0.0806569038518346,0.4754089668708093,1.2106238860945977
1999-03-01,-0.07352657045679593,0.6488614188319187,1.3327268304754647
1999-04-01,0.028378673041400182,0.6740004235154472,1.2901384203383608
1999-05-01,0.3011027476114395,0.9992260297439046,1.3224228280233
1999-06-01,0.5662076852907642,1.3208699429434931,1.3551826346782776
1999-07-01,0.6635012650415761,1.3012474236956368,1.2837366738727527
1999-08-01,0.7544031734166498,1.399208809180044,1.2690672890211623
1999-09-01,0.8198439496063328,1.397964925321839,1.2147476538349622
1999-10-01,0.9632550482821598,1.5537732160346804,1.208786330997734
1999-11-01,0.9849495711175706,1.5360859487444745,1.1959350766331904
1999-12-01,0.9783947515600221,1.698784441861618,1.3108692806064126
2000-01-01,1.0244820290308876,1.9622375650270536,1.4524465395988984
2000-02-01,0.9729605732236408,1.8309523990435332,1.3821769568191145
2000-03-01,0.8955718665657972,1.638262144915156,1.3130668827819258
2000-04-01,0.923050716127018,1.4772033302856808,1.1871818052106602
2000-05-01,0.9423216410865496,1.7543772183683073,1.3505462210776944
2000-06-01,0.8155738056981261,1.5045324313184734,1.2756537554739231
2000-07-01,0.7733370092111632,1.450855323305581,1.266592727763044
2000-08-01,0.6802847664846529,1.2643862182584675,1.2006056832488157
2000-09-01,0.6308285620195301,1.2142377545969767,1.1921449695097963
2000-10-01,0.7114132618491659,1.1843030790470108,1.1061499757549427
2000-11-01,0.7566364621838607,1.1856497195295423,1.0831193917249455
2000-12-01,0.7058637152167996,0.8436845658629155,0.8794926113146212
2001-01-01,0.6969344554362822,0.8011599519383509,0.8725624323136734
2001-02-01,0.6452538053217833,0.7441713842361293,0.8732400610440835
2001-03-01,0.5695041685035972,0.5465775934127673,0.7656405186671223
2001-04-01,0.4798735122357064,0.7264008660252369,0.9769814256584677
2001-05-01,0.41388032804516794,0.9428947903244843,1.2191043964541755
2001-06-01,0.4519566594735722,0.9131868187327455,1.1911647315522076
2001-07-01,0.44523911470230954,0.8957547103462071,1.2000046535633522
2001-08-01,0.19542752545573777,0.6536055726198499,1.219874680729124
2001-09-01,-0.12804266243003248,0.36733784067617975,1.2351769457185042
2001-10-01,-0.2379037806539987,0.24471839246767174,1.2448854125313096
2001-11-01,0.27239382474989987,0.5163854718535624,1.1135623918518105
2001-12-01,0.7794165977613945,1.0029864344968653,1.1216725298977324
2002-01-01,0.7574164172916674,0.9655269129177693,1.1105186357709171
2002-02-01,0.446613715116699,0.769272466783767,1.1762776376622683
2002-03-01,0.20452657368093966,0.9454017719378183,1.46940562053286
2002-04-01,0.13591961894271437,0.8594795497722756,1.4430116018080446
2002-05-01,0.1132609635651662,0.7948200649133782,1.3992528074115396
2002-06-01,0.03260097375264237,0.569633481998969,1.2755514364945273
2002-07-01,0.010739893492490972,0.3039419617500065,1.0622409311297627
2002-08-01,0.09895128440056664,0.04725037461895248,0.8187629468280548
2002-09-01,0.22371025588856813,-0.21384300577234003,0.5277460559871681
2002-10-01,0.20057671620155187,-0.172511114327298,0.5764287181193082
2002-11-01,0.1450478206036735,-0.07617007756538448,0.7101844674276085
2002-12-01,0.1588661378181273,-0.0730680959422325,0.7080362729109966
2003-01-01,0.2280745832746951,-0.05540687993406369,0.6635101875543779
2003-02-01,0.32926376954392533,-0.16357579003213674,0.49025042016757464
2003-03-01,0.38101844302595805,-0.21609438477383616,0.41482834203647656
2003-04-01,0.45921226680496297,-0.09544273502308087,0.4459302308321502
2003-05-01,0.4429388473784363,-0.3582773743037425,0.27941089268884395
2003-06-01,0.3753734188565092,-0.5275584970837375,0.2130978726547523
2003-07-01,0.4127919377028832,-0.10106330524355042,0.46773381747021103
2003-08-01,0.3896688313594347,0.1912606451198463,0.6688502648826592
2003-09-01,0.33984677617868786,0.06518399219709226,0.6134933002900498
2003-10-01,0.509252634562555,0.09502756606455168,0.4942458938076228
2003-11-01,0.6605652472856796,0.11100967517961602,0.3739219615936835
2003-12-01,0.7080113088511265,0.07610836650575607,0.29855086730436586
2004-01-01,0.715833500607263,0.01697449028186233,0.26566837804684734
2004-02-01,0.7942344715586498,-0.01022890975148242,0.19174329812226787
2004-03-01,0.8526517877849928,-0.17372972893042732,0.026745010918583438
2004-04-01,0.9365910188801336,0.1926614463142244,0.21306439819832193
2004-05-01,0.9492917153605602,0.41869405051785863,0.3362654173683595
2004-06-01,0.875733373470736,0.40933759725495467,0.37997182673320407
2004-07-01,0.8012613103297582,0.19906498686541305,0.26882107892446316
2004-08-01,0.8320140434098184,0.04152292436629672,0.12816346258356306
2004-09-01,0.9181690014643944,-0.022424175213884644,0.036759055083975506
2004-10-01,1.0664803305173465,0.00999542231903458,-0.039205766473367806
2004-11-01,1.1955164009162083,0.1478494555884956,-0.010844755641260414
2004-12-01,1.2479140897294807,0.20467996477611233,0.0017576328599014715
2005-01-01,1.0972631302949987,0.12993266700853434,0.040713891317123746
2005-02-01,1.2857312847266318,0.17209210898742655,-0.05034181003547028
2005-03-01,1.7936280821197568,0.5624407373232945,-0.12562665651131727
2005-04-01,1.9941848284577075,0.5045162847316436,-0.31692797696570524
2005-05-01,2.0782868540360946,0.3933584638324553,-0.4521831175278468
2005-06-01,2.0852385194866168,0.3019827627622848,-0.5165755566155376
2005-07-01,2.174668600304466,0.4539912384404633,-0.47027150667541645
2005-08-01,2.341736091549755,0.5634142691688531,-0.5122521189684297
2005-09-01,2.346515850185565,0.526106628698185,-0.5428877454195961
2005-10-01,2.323924947422318,0.6625693463741966,-0.4570222697866907
2005-11-01,2.2264042165272726,0.6888595271150816,-0.36733685261056204
2005-12-01,2.1016858250930617,0.6007105509678322,-0.34450458122844085
2006-01-01,2.0045637939023178,0.5396305909899274,-0.31780020581944096
2006-02-01,1.9207295888706886,0.6043108280721161,-0.22457662805073045
2006-03-01,1.8139945168240497,0.6806811179692086,-0.09874448127648854
2006-04-01,1.7605410860186037,0.8490651008894697,0.05537390173275983
2006-05-01,1.7731295918149685,0.9276699725178471,0.09366503701804196
2006-06-01,1.8468064208381822,0.9261180051207333,0.024500262797061245
