,beta_growth,beta_discount,beta_risk_premium,P_trace
1981-11-01,-0.00348633339008903,-0.028415293541952005,0.02000389871918938,0.04266661321819373
1981-12-01,0.01396705995222493,-0.03129158193918301,0.01323227545453377,0.043325098335364756
1982-01-01,0.028497535206128903,-0.03225610820597977,0.009231390926716676,0.04354689789159043
1982-02-01,-0.0014184193857977798,-0.030847342235948035,0.016607223619387997,0.04396802430042279
1982-03-01,-0.013501999469703393,-0.02849375861497784,0.01929960459863448,0.04501610142030693
1982-04-01,-0.010716823093732968,-0.030409085212197973,0.018259075451373945,0.04680587924338722
1982-05-01,0.0012337014709283504,-0.030930286571551353,0.011198330694643654,0.04829333582760355
1982-06-01,0.0034420736118407603,-0.0312203270449221,0.010802509201709932,0.049449875876031
1982-07-01,-0.030836791145419293,-0.028046447677277327,0.029750222810469785,0.05111143236209413
1982-08-01,-0.06288635422485803,-0.033100697749710875,0.04062908988391305,0.05204183558241418
1982-09-01,-0.06957127893697712,-0.025260023061524035,0.03917776140731381,0.052950659359233335
1982-10-01,-0.04340761919209708,-0.022820061207569343,0.03197765257109658,0.05415541927792578
1982-11-01,-0.024995237289724206,-0.020991200563561453,0.02993649285005769,0.055128665269624136
1982-12-01,-0.016033037144991567,-0.023511196235280182,0.030306603483625336,0.05652738544499152
1983-01-01,-0.019851879652448688,-0.021867990816591368,0.03138783298784756,0.05843734645326665
1983-02-01,-0.022136051535435214,-0.02028866274880751,0.03202276090161983,0.060379281649149304
1983-03-01,-0.031054808163631695,-0.01919210962143219,0.036265940292382684,0.06232911686935147
1983-04-01,-0.028334088655647252,-0.0197023532194175,0.034135750396419084,0.06421082842575766
1983-05-01,-0.02900447335289436,-0.025334129830674346,0.019880038868614676,0.06454624967703963
1983-06-01,-0.040141042911680413,-0.03782948496574811,-0.013588649815531595,0.062732781781709
1983-07-01,-0.04021914422998452,-0.03789615751905539,-0.013943034571268763,0.06233992058677062
1983-08-01,-0.03767926286659296,-0.03630211593401575,-0.009194417955961008,0.060154328667671994
1983-09-01,-0.030442737223055145,-0.04184108497023329,0.005209246627852413,0.05258062444281577
1983-10-01,-0.03246032172172271,-0.04262947147473653,-0.004379666906891233,0.053518800742649114
1983-11-01,-0.026246669307059996,-0.041204676668257285,-0.0005731494262538853,0.047851005807390115
1983-12-01,-0.03921697060523714,-0.05617001600842848,-0.0022991005474639796,0.0412627044470498
1984-01-01,-0.037428241919091526,-0.05472552583197612,-0.0020791517083912792,0.039610521170026114
1984-02-01,-0.03899560125592269,-0.05516640492887383,-0.002503118366542292,0.04030197074813553
1984-03-01,-0.021519933200136617,-0.039866856807051494,0.0013754428174596483,0.04121560143021062
1984-04-01,-0.01997472406328089,-0.0404774691840329,0.0017624474600125648,0.04169582813649837
1984-05-01,-0.024153699021468255,-0.039548958346700636,0.0008660607689716585,0.043157562676309796
1984-06-01,0.0004943012698043273,-0.06914086024928656,0.010596631629993577,0.042934238384595216
1984-07-01,0.017053553909370637,-0.0852097766460621,0.019996231103592742,0.044049498425689754
1984-08-01,0.02539176534095585,-0.0900009612761422,0.022252367713386147,0.04571074722398377
1984-09-01,0.0040958685455483035,-0.06166026016940597,0.01990615608246379,0.04620912271039041
1984-10-01,-0.01527614696910877,-0.04537106844506984,0.03478736287363469,0.04570020707974949
1984-11-01,-0.014257308814616823,-0.05125190861104806,0.042489104479027665,0.04361469618001577
1984-12-01,-0.01309937182538054,-0.0713906614044104,0.05724315902719672,0.04054256515208602
1985-01-01,-0.012606083589811998,-0.07367582572034946,0.0591979695186303,0.04054184745323439
1985-02-01,-0.015669383110219422,-0.07221744094776768,0.04427997188125002,0.041286571141051075
1985-03-01,-0.01465713953372274,-0.05739601151087168,0.01995235576768993,0.04116700820989276
1985-04-01,-0.015090134094537492,-0.058052051771287014,0.022665474717416697,0.0411563191318928
1985-05-01,-0.014549426230717307,-0.06039598629882583,0.02502251188063783,0.04237221075182089
1985-06-01,-0.016294860463751344,-0.05648930242996206,0.011391537504286725,0.04399679923835098
1985-07-01,-0.02111285984615302,-0.04734709850446561,-0.006005400644369345,0.045766558945096444
1985-08-01,-0.019903970363918312,-0.045199648198341075,-0.018466759768627092,0.0470621913988326
1985-09-01,-0.0227533425154264,-0.06824562341862082,-0.0028491647492936353,0.047140498687504764
1985-10-01,-0.029271456897713165,-0.04994462119098051,0.040803122451422376,0.0474327332230765
1985-11-01,-0.03036518878045492,-0.04665911611276466,0.051354403036212054,0.04864151694729443
1985-12-01,-0.030398725753524175,-0.0466102609932938,0.05162421172367219,0.050145740494926365
1986-01-01,-0.030889926696132997,-0.04595022219354348,0.053377661112272434,0.05121622472775361
1986-02-01,-0.028802401787002788,-0.05277068914547916,0.05915240122190477,0.05248633697986476
1986-03-01,-0.029579121479354254,-0.051616896780562735,0.048413043382517534,0.05450325371001286
1986-04-01,-0.035010474955488285,-0.037569420870551165,0.03871978108514802,0.055701491381700934
1986-05-01,-0.023344553033771424,-0.04833465224183882,0.012438410811216577,0.05639735144631137
